,Name,Ballotpedia Page,State,District,Campaign Twitter,Official Twitter,Personal Twitter,Party,Incumbent?,Percent of Votes
172,Critter Milton,https://ballotpedia.org/Critter_Milton,Colorado,3,https://www.twitter.com/CritterMilton,,,Unity Party,FALSE,0.01
173,Ken Buck,https://ballotpedia.org/Ken_Buck,Colorado,4,https://www.twitter.com/BuckForColorado,https://www.twitter.com/RepKenBuck,,Republican Party,TRUE,0.601
174,Isaac McCorkle,https://ballotpedia.org/Ian_McCorkle,Colorado,4,https://www.twitter.com/Ike4CO,,https://www.twitter.com/IkeMcCorkle,Democratic Party,FALSE,0.366
175,Bruce Griffith,https://ballotpedia.org/Bruce_Griffith,Colorado,4,,,,Libertarian Party,FALSE,0.023
176,Laura Ireland,https://ballotpedia.org/Laura_Ireland,Colorado,4,,,,Unity Party,FALSE,0.01
177,Doug Lamborn,https://ballotpedia.org/Doug_Lamborn,Colorado,5,,https://www.twitter.com/RepDLamborn,,Republican Party,TRUE,0.5760000000000000
178,Jillian Freeland,https://ballotpedia.org/Jillian_Freeland,Colorado,5,https://www.twitter.com/FreelandCO5,,,Democratic Party,FALSE,0.374
179,Ed Duffett,https://ballotpedia.org/Ed_Duffett,Colorado,5,,,https://www.twitter.com/eduffett,Libertarian Party,FALSE,0.034
180,Rebecca Keltie,https://ballotpedia.org/Rebecca_Keltie,Colorado,5,https://www.twitter.com/Keltie4Congress,,,Unity Party,FALSE,0.008
181,Marcus Murphy,https://ballotpedia.org/Marcus_Murphy,Colorado,5,,,,Independent,FALSE,0.009000000000000000
182,Jason Crow,https://ballotpedia.org/Jason_Crow,Colorado,6,https://www.twitter.com/JasonCrowCO6,https://www.twitter.com/repjasoncrow,,Democratic Party,TRUE,0.5710000000000000
183,Steve House,https://ballotpedia.org/Steve_House,Colorado,6,https://www.twitter.com/House4CO,,,Republican Party,FALSE,0.4
184,Norm Olsen,https://ballotpedia.org/Norm_Olsen,Colorado,6,,,,Libertarian Party,FALSE,0.021
185,Jaimie Kulikowski,https://ballotpedia.org/Jaimie_Kulikowski,Colorado,6,,,,Unity Party,FALSE,0.009000000000000000
186,Ed Perlmutter,https://ballotpedia.org/Ed_Perlmutter,Colorado,7,https://www.twitter.com/Ed4Colorado,https://www.twitter.com/repperlmutter,,Democratic Party,TRUE,0.591
187,Casper Stockham,https://ballotpedia.org/Casper_Stockham,Colorado,7,https://www.twitter.com/Casper4Colorado,,,Republican Party,FALSE,0.376
188,Ken Biles,https://ballotpedia.org/Ken_Biles,Colorado,7,https://www.twitter.com/Ken4Colorado,,,Libertarian Party,FALSE,0.027000000000000000
189,David Olszta,https://ballotpedia.org/David_R._Olszta,Colorado,7,,,,Unity Party,FALSE,0.006
190,Steve Zorn,https://ballotpedia.org/Steve_Zorn,Colorado,7,,,,Democratic Party,FALSE,0.0
191,John Larson,https://ballotpedia.org/John_Larson_(Connecticut),Connecticut,1,https://www.twitter.com/JohnLarsonCT,https://www.twitter.com/RepJohnLarson,,Democratic Party,TRUE,0.638
192,Mary Fay,https://ballotpedia.org/Mary_Fay,Connecticut,1,https://www.twitter.com/Fay4Congress,,,Republican Party,FALSE,0.35
193,Tom McCormick,https://ballotpedia.org/Tom_McCormick,Connecticut,1,,,,Green Party,FALSE,0.013000000000000000
194,Joe Courtney,https://ballotpedia.org/Joe_Courtney,Connecticut,2,https://www.twitter.com/joecourtneyct,https://www.twitter.com/repjoecourtney,,Democratic Party,TRUE,0.594
195,Justin Anderson,https://ballotpedia.org/Justin_Anderson_(Connecticut),Connecticut,2,,,,Republican Party,FALSE,0.382
196,Cassandra Martineau,https://ballotpedia.org/Cassandra_Martineau,Connecticut,2,https://www.twitter.com/CassCongress,,,Green Party,FALSE,0.013000000000000000
197,Daniel Reale,https://ballotpedia.org/Daniel_Reale,Connecticut,2,,,,Libertarian Party,FALSE,0.011000000000000000
198,Rosa L. DeLauro,https://ballotpedia.org/Rosa_DeLauro,Connecticut,3,https://www.twitter.com/Rosa_DeLauro,https://www.twitter.com/rosadelauro,,Democratic Party,TRUE,0.5870000000000000
199,Margaret Streicker,https://ballotpedia.org/Margaret_Streicker,Connecticut,3,https://www.twitter.com/ForStreicker,,,Republican Party,FALSE,0.39800000000000000
200,Justin Paglino,https://ballotpedia.org/Justin_Paglino,Connecticut,3,https://www.twitter.com/justin4all2,,,Green Party,FALSE,0.015
201,Jim Himes,https://ballotpedia.org/Jim_Himes,Connecticut,4,https://www.twitter.com/jahimes,,,Democratic Party,TRUE,0.622
202,Jonathan Riddle,https://ballotpedia.org/Jonathan_Riddle,Connecticut,4,https://www.twitter.com/riddlecongress,,,Republican Party,FALSE,0.363
203,Brian Merlen,https://ballotpedia.org/Brian_Merlen,Connecticut,4,https://www.twitter.com/votemerlen,,,Independent Party,FALSE,0.016
204,Yusheng Peng,https://ballotpedia.org/Yusheng_Peng,Connecticut,4,,,,Independent,FALSE,0.0
205,Jahana Hayes,https://ballotpedia.org/Jahana_Hayes,Connecticut,5,https://www.twitter.com/JahanaHayesCT,https://www.twitter.com/RepJahanaHayes,,Democratic Party,TRUE,0.551
206,David Xavier Sullivan,https://ballotpedia.org/David_Xavier_Sullivan_(Connecticut),Connecticut,5,https://www.twitter.com/DavidXSullivan,,,Republican Party,FALSE,0.435
207,Bruce Walczak,https://ballotpedia.org/Bruce_Walczak,Connecticut,5,,,,Independent Party,FALSE,0.014000000000000000
208,Lisa Blunt Rochester,https://ballotpedia.org/Lisa_Blunt_Rochester,Delaware,1,https://www.twitter.com/LisaBRochester,https://www.twitter.com/RepLBR,,Democratic Party,TRUE,0.5760000000000000
209,Lee Murphy,https://ballotpedia.org/Lee_Murphy_(Delaware),Delaware,1,https://www.twitter.com/goMurph2020,,,Republican Party,FALSE,0.402
210,David Rogers,https://ballotpedia.org/David_Rogers_(Delaware),Delaware,1,,,,Libertarian Party,FALSE,0.008
211,Catherine Purcell,https://ballotpedia.org/Catherine_Purcell,Delaware,1,https://www.twitter.com/Catheri45538542,,,Independent,FALSE,0.014000000000000000
212,Matt Gaetz,https://ballotpedia.org/Matt_Gaetz,Florida,1,https://www.twitter.com/mattgaetz,https://www.twitter.com/RepMattGaetz,,Republican Party,TRUE,0.6460000000000000
213,Phil Ehr,https://ballotpedia.org/Phil_Ehr,Florida,1,https://www.twitter.com/PhilEhr,,,Democratic Party,FALSE,0.34
214,Albert Oram,https://ballotpedia.org/Albert_Oram,Florida,1,https://www.twitter.com/RealMaverickUSA,,,Independent,FALSE,0.014000000000000000
215,Neal Dunn,https://ballotpedia.org/Neal_Dunn,Florida,2,https://www.twitter.com/DunnCampaign,https://www.twitter.com/DrNealDunnFL2,,Republican Party,TRUE,0.9790000000000000
216,Kim O'Connor,https://ballotpedia.org/Kim_O'Connor,Florida,2,,,,Independent,FALSE,0.021
217,Adam Christensen,https://ballotpedia.org/Adam_Christensen,Florida,3,https://www.twitter.com/AC4Congress2020,,,Democratic Party,FALSE,0.429
218,Kat Cammack,https://ballotpedia.org/Kat_Cammack,Florida,3,https://www.twitter.com/Kat_Cammack,https://www.twitter.com/RepKatCammack,https://www.twitter.com/KatCammack,Republican Party,FALSE,0.5710000000000000
219,John Rutherford,https://ballotpedia.org/John_Rutherford_(Florida),Florida,4,https://www.twitter.com/JRutherfordFL,https://www.twitter.com/RepRutherfordFL,,Republican Party,TRUE,0.611
220,Donna Deegan,https://ballotpedia.org/Donna_Deegan,Florida,4,https://www.twitter.com/DonnaDeegan,,,Democratic Party,FALSE,0.389
221,Gary Koniz,https://ballotpedia.org/Gary_Koniz,Florida,4,,,,Republican Party,FALSE,0.0
222,Alfred Lawson,https://ballotpedia.org/Alfred_Lawson,Florida,5,https://www.twitter.com/AlLawsonJR,https://www.twitter.com/RepAlLawsonJr,,Democratic Party,TRUE,0.6510000000000000
223,Gary Adler,https://ballotpedia.org/Gary_Adler,Florida,5,https://www.twitter.com/ElectAdler,,,Republican Party,FALSE,0.349
224,Michael Waltz,https://ballotpedia.org/Michael_Waltz,Florida,6,https://www.twitter.com/michaelgwaltz,https://www.twitter.com/RepMichaelWaltz,,Republican Party,TRUE,0.606
225,Clinton Curtis,https://ballotpedia.org/Clinton_Curtis,Florida,6,https://www.twitter.com/Clint4congress,,https://www.twitter.com/LawClintCurtis,Democratic Party,FALSE,0.39400000000000000
226,Alan Grayson,https://ballotpedia.org/Alan_Grayson,Florida,6,https://www.twitter.com/AlanGrayson,,,Democratic Party,FALSE,0
227,John G. Nolan,https://ballotpedia.org/John_G._%22Gerry%22_Nolan,Florida,6,https://www.twitter.com/GerryNolan13,,,Independent,FALSE,0.0
228,Stephanie Murphy,https://ballotpedia.org/Stephanie_Murphy,Florida,7,https://www.twitter.com/SMurphyCongress,https://www.twitter.com/RepStephMurphy,,Democratic Party,TRUE,0.5530000000000000
229,Leo Valentin,https://ballotpedia.org/Leo_Valentin,Florida,7,https://www.twitter.com/drleovalentin,,,Republican Party,FALSE,0.43200000000000000
230,William Garlington,https://ballotpedia.org/William_Garlington,Florida,7,https://www.twitter.com/billgarlington,,,Independent,FALSE,0.014000000000000000
231,Bill Posey,https://ballotpedia.org/Bill_Posey,Florida,8,https://www.twitter.com/PoseyCampaign,https://www.twitter.com/congbillposey,,Republican Party,TRUE,0.614
232,Jim Kennedy,https://ballotpedia.org/Jim_Kennedy_(Florida),Florida,8,https://www.twitter.com/JK4Florida,,,Democratic Party,FALSE,0.386
233,Darren Soto,https://ballotpedia.org/Darren_Soto,Florida,9,https://www.twitter.com/DarrenSoto,https://www.twitter.com/RepDarrenSoto,,Democratic Party,TRUE,0.56
234,Bill Olson,https://ballotpedia.org/Bill_Olson,Florida,9,,,,Republican Party,FALSE,0.44
235,Clay Hill,https://ballotpedia.org/Clay_Hill,Florida,9,,,,Independent,FALSE,0.0
236,Val Demings,https://ballotpedia.org/Val_Demings,Florida,10,https://www.twitter.com/val_demings,https://www.twitter.com/RepValDemings,,Democratic Party,TRUE,0.636
237,Vennia Francois,https://ballotpedia.org/Vennia_Francois,Florida,10,https://www.twitter.com/Vennia4Congress,,,Republican Party,FALSE,0.364
238,Sufiyah Yasmine,https://ballotpedia.org/Sufiyah_Yasmine,Florida,10,https://www.twitter.com/sufiyahyasmine,,,Democratic Party,FALSE,0.0
239,Daniel Webster,https://ballotpedia.org/Daniel_Webster_(Florida),Florida,11,https://www.twitter.com/WebsterCongress,https://www.twitter.com/RepWebster,,Republican Party,TRUE,0.667
240,Dana Cottrell,https://ballotpedia.org/Dana_Cottrell,Florida,11,https://www.twitter.com/DanaforCongress,,,Democratic Party,FALSE,0.33300000000000000
241,Gus M. Bilirakis,https://ballotpedia.org/Gus_Bilirakis,Florida,12,,https://www.twitter.com/RepGusBilirakis,,Republican Party,TRUE,0.629
242,Kimberly Walker,https://ballotpedia.org/Kimberly_Walker,Florida,12,https://www.twitter.com/kw4congress,,,Democratic Party,FALSE,0.371
243,Charlie Crist,https://ballotpedia.org/Charlie_Crist,Florida,13,https://www.twitter.com/CharlieCrist,https://www.twitter.com/RepCharlieCrist,,Democratic Party,TRUE,0.53
244,Anna Paulina Luna,https://ballotpedia.org/Anna_Paulina_Luna,Florida,13,https://www.twitter.com/realannapaulina,,,Republican Party,FALSE,0.47
245,Jacob Curnow,https://ballotpedia.org/Jacob_Curnow,Florida,13,https://www.twitter.com/CurnowJacob,,,Republican Party,FALSE,0.0
246,Kathy Castor,https://ballotpedia.org/Kathy_Castor,Florida,14,https://www.twitter.com/KathyCastorFL,https://www.twitter.com/USRepKCastor,,Democratic Party,TRUE,0.603
247,Christine Quinn,https://ballotpedia.org/Christine_Quinn,Florida,14,https://www.twitter.com/ElectQuinn,,,Republican Party,FALSE,0.397
248,Alan Cohn,https://ballotpedia.org/Alan_Cohn,Florida,15,https://www.twitter.com/AlanMCohn,,,Democratic Party,FALSE,0.446
249,Scott Franklin,https://ballotpedia.org/Scott_Franklin,Florida,15,https://www.twitter.com/ScottFranklinFL,https://www.twitter.com/RepFranklin,,Republican Party,FALSE,0.5540000000000000
250,Vern Buchanan,https://ballotpedia.org/Vern_Buchanan,Florida,16,,https://www.twitter.com/VernBuchanan,,Republican Party,TRUE,0.555
251,Margaret Good,https://ballotpedia.org/Margaret_Good,Florida,16,https://www.twitter.com/GoodforFlorida,,,Democratic Party,FALSE,0.445
252,Greg Steube,https://ballotpedia.org/Greg_Steube,Florida,17,https://www.twitter.com/gregsteube,https://www.twitter.com/RepGregSteube,,Republican Party,TRUE,0.6460000000000000
253,Allen Ellison,https://ballotpedia.org/Allen_Ellison,Florida,17,https://www.twitter.com/AllenLEllison,,,Democratic Party,FALSE,0.341
254,Theodore Murray,https://ballotpedia.org/Theodore_Murray,Florida,17,,,,Independent,FALSE,0.013000000000000000
255,Brian Mast,https://ballotpedia.org/Brian_Mast,Florida,18,https://www.twitter.com/BrianMastFL,https://www.twitter.com/RepBrianMast,,Republican Party,TRUE,0.563
256,Pam Keith,https://ballotpedia.org/Pam_Keith,Florida,18,https://www.twitter.com/PamKeithFL,,,Democratic Party,FALSE,0.415
257,K.W. Miller,https://ballotpedia.org/K.W._Miller,Florida,18,https://www.twitter.com/KwCongressional,,,Independent,FALSE,0.022000000000000000
258,Cindy Banyai,https://ballotpedia.org/Cindy_Banyai,Florida,19,https://www.twitter.com/SWFLmom2020,,,Democratic Party,FALSE,0.387
259,Byron Donalds,https://ballotpedia.org/Byron_Donalds,Florida,19,https://www.twitter.com/ByronDonalds,https://www.twitter.com/RepDonaldsPress,,Republican Party,FALSE,0.613
260,Patrick Post,https://ballotpedia.org/Patrick_Post,Florida,19,,,,Democratic Party,FALSE,0
261,Alcee Hastings,https://ballotpedia.org/Alcee_Hastings,Florida,20,https://www.twitter.com/alcee4congress,https://www.twitter.com/RepHastingsFL,,Democratic Party,TRUE,0.787
262,Greg Musselwhite,https://ballotpedia.org/Greg_Musselwhite,Florida,20,https://www.twitter.com/GregMusselwhit3,,,Republican Party,FALSE,0.213
263,Lois Frankel,https://ballotpedia.org/Lois_Frankel,Florida,21,https://www.twitter.com/LoisFrankel,https://www.twitter.com/RepLoisFrankel,,Democratic Party,TRUE,0.59
264,Laura Loomer,https://ballotpedia.org/Laura_Loomer,Florida,21,,,,Republican Party,FALSE,0.391
265,Charleston Malkemus,https://ballotpedia.org/Charleston_Malkemus,Florida,21,https://www.twitter.com/votecharleston,,,Independent,FALSE,0.019
266,Piotr Blass,https://ballotpedia.org/Piotr_Blass,Florida,21,https://www.twitter.com/pblass,,,Republican Party,FALSE,0.0
267,Sylvia Caravetta,https://ballotpedia.org/Sylvia_Caravetta,Florida,21,https://www.twitter.com/SylviaCaravetta,,,Independent,FALSE,0.0
268,Theodore E. Deutch,https://ballotpedia.org/Ted_Deutch,Florida,22,https://www.twitter.com/TedDeutch,https://www.twitter.com/RepTedDeutch,,Democratic Party,TRUE,0.586
269,James Pruden,https://ballotpedia.org/James_Pruden_(Florida),Florida,22,https://www.twitter.com/Jimprudenforco1,,,Republican Party,FALSE,0.414
270,Debbie Wasserman Schultz,https://ballotpedia.org/Debbie_Wasserman_Schultz,Florida,23,https://www.twitter.com/DWStweets,https://www.twitter.com/RepDWStweets,,Democratic Party,TRUE,0.5820000000000000
271,Carla Spalding,https://ballotpedia.org/Carla_Spalding,Florida,23,https://www.twitter.com/carla_spalding,,,Republican Party,FALSE,0.418
272,D.B. Fugate,https://ballotpedia.org/D.B._Fugate,Florida,23,https://www.twitter.com/DB_Fugate,,,Republican Party,FALSE,0.0
273,Jeff Olson,https://ballotpedia.org/Jeff_Olson_(Florida),Florida,23,https://www.twitter.com/olson_fl,,,Republican Party,FALSE,0.0
274,Frederica S. Wilson,https://ballotpedia.org/Frederica_Wilson,Florida,24,https://www.twitter.com/FSWInTheHouse,https://www.twitter.com/RepWilson,,Democratic Party,TRUE,0.7560000000000000
275,Lavern Spicer,https://ballotpedia.org/Lavern_Spicer,Florida,24,https://www.twitter.com/lavern_spicer,,,Republican Party,FALSE,0.204
276,Christine Alexandria Olivo,https://ballotpedia.org/Christine_Alexandria_Olivo,Florida,24,https://www.twitter.com/Christinefor24,,,Democratic Party,FALSE,0.7560000000000000
277,Howard Knepper,https://ballotpedia.org/Howard_Knepper,Florida,24,,,,Republican Party,FALSE,0.0
278,Hector Rivera,https://ballotpedia.org/Hector_Rivera_(Florida),Florida,24,,,,Independent,FALSE,0.0
279,Mario Diaz-Balart,https://ballotpedia.org/Mario_Diaz-Balart,Florida,25,https://www.twitter.com/MarioDBCamp,https://www.twitter.com/MarioDB,,Republican Party,TRUE,0.605
280,Debbie Mucarsel-Powell,https://ballotpedia.org/Debbie_Mucarsel-Powell,Florida,26,https://www.twitter.com/DebbieforFL,https://www.twitter.com/RepDMP,,Democratic Party,TRUE,0.483
281,Carlos Gimenez,https://ballotpedia.org/Carlos_Gimenez,Florida,26,https://www.twitter.com/CarlosGimenezFL,https://www.twitter.com/RepCarlos,,Republican Party,FALSE,0.517
282,Donna Shalala,https://ballotpedia.org/Donna_Shalala,Florida,27,https://www.twitter.com/DonnaShalala,https://www.twitter.com/RepShalala,,Democratic Party,TRUE,0.486
283,Maria Elvira Salazar,https://ballotpedia.org/Maria_Elvira_Salazar,Florida,27,https://www.twitter.com/MaElviraSalazar,https://www.twitter.com/RepMariaSalazar,,Republican Party,FALSE,0.514
284,Frank Polo Sr.,https://ballotpedia.org/Frank_Polo_Sr.,Florida,27,https://www.twitter.com/PoloChange,,,Republican Party,FALSE,0.0
285,Earl Carter,"https://ballotpedia.org/Earl_""Buddy""_Carter",Georgia,1,https://www.twitter.com/Buddy_Carter,https://www.twitter.com/repBuddyCarter,,Republican Party,TRUE,0.583
286,Joyce Marie Griggs,https://ballotpedia.org/Joyce_Marie_Griggs,Georgia,1,https://www.twitter.com/joycegriggs2020,,,Democratic Party,FALSE,0.41700000000000000
287,Sanford Bishop Jr.,https://ballotpedia.org/Sanford_Bishop_Jr.,Georgia,2,,https://www.twitter.com/SanfordBishop,,Democratic Party,TRUE,0.591
288,Donald Cole,https://ballotpedia.org/Donald_Cole,Georgia,2,https://www.twitter.com/DonCole4Cong,,https://www.twitter.com/doncole_com,Republican Party,FALSE,0.409
289,JaMelle Hill,https://ballotpedia.org/JaMelle_Hill,Georgia,2,,,,Independent,FALSE,0.0
290,Drew Ferguson,https://ballotpedia.org/Drew_Ferguson,Georgia,3,https://www.twitter.com/DrewFergusonGA,https://www.twitter.com/RepDrewFerguson,,Republican Party,TRUE,0.65
291,Val Almonord,https://ballotpedia.org/Val_Almonord,Georgia,3,https://www.twitter.com/valforcongress3,,,Democratic Party,FALSE,0.35
292,Hank Johnson,https://ballotpedia.org/Hank_Johnson,Georgia,4,https://www.twitter.com/ReElectHank,https://www.twitter.com/RepHankJohnson,,Democratic Party,TRUE,0.8010000000000000
293,Johsie Cruz,https://ballotpedia.org/Johsie_Cruz,Georgia,4,https://www.twitter.com/JohsieC,,,Republican Party,FALSE,0.19900000000000000
294,Nikema Williams,https://ballotpedia.org/Nikema_Williams,Georgia,5,https://www.twitter.com/NikemaWilliams,https://www.twitter.com/RepNikema,https://www.twitter.com/DPGChair,Democratic Party,FALSE,0.851
295,Angela Stanton King,https://ballotpedia.org/Angela_Stanton_King,Georgia,5,https://www.twitter.com/theangiestanton,,,Republican Party,FALSE,0.149
296,Lucy McBath,https://ballotpedia.org/Lucy_McBath,Georgia,6,https://www.twitter.com/lucymcbath,https://www.twitter.com/RepLucyMcBath,,Democratic Party,TRUE,0.546
297,Karen Handel,https://ballotpedia.org/Karen_Handel,Georgia,6,https://www.twitter.com/karenhandel,,,Republican Party,FALSE,0.45400000000000000
298,Carolyn Bourdeaux,https://ballotpedia.org/Carolyn_Bourdeaux,Georgia,7,https://www.twitter.com/Carolyn4GA7,https://www.twitter.com/RepBourdeaux,,Democratic Party,FALSE,0.514
299,Rich McCormick,https://ballotpedia.org/Rich_McCormick,Georgia,7,https://www.twitter.com/RichforGA,,,Republican Party,FALSE,0.486
300,Austin Scott,https://ballotpedia.org/Austin_Scott,Georgia,8,https://www.twitter.com/ScottForGA,https://www.twitter.com/AustinScottGA08,,Republican Party,TRUE,0.645
301,Lindsay Holliday,https://ballotpedia.org/Lindsay_Holliday,Georgia,8,,,,Democratic Party,FALSE,0.355
302,James Cooper III,https://ballotpedia.org/James_Cooper_III_(Georgia),Georgia,8,https://www.twitter.com/RevolutionaryJC,,,Green Party,FALSE,0.0
303,Devin Pandy,https://ballotpedia.org/Devin_Pandy,Georgia,9,https://www.twitter.com/DevinPandy,,,Democratic Party,FALSE,0.214
304,Andrew Clyde,https://ballotpedia.org/Andrew_Clyde,Georgia,9,https://www.twitter.com/Clyde4Congress,,,Republican Party,FALSE,0.7860000000000000
305,Jody Hice,https://ballotpedia.org/Jody_Hice,Georgia,10,https://www.twitter.com/jodyhice,https://www.twitter.com/congressmanhice,https://www.twitter.com/JodyHice,Republican Party,TRUE,0.623
306,Tabitha Johnson-Green,https://ballotpedia.org/Tabitha_Johnson-Green,Georgia,10,https://www.twitter.com/TJG4GA,,,Democratic Party,FALSE,0.377
307,Barry Loudermilk,https://ballotpedia.org/Barry_Loudermilk,Georgia,11,https://www.twitter.com/standwithbarry,https://www.twitter.com/reploudermilk,,Republican Party,TRUE,0.604
308,Dana Barrett,https://ballotpedia.org/Dana_Barrett,Georgia,11,https://www.twitter.com/TheDanaBarrett,,,Democratic Party,FALSE,0.396
309,Rick Allen,https://ballotpedia.org/Rick_Allen,Georgia,12,https://www.twitter.com/rickallen,https://www.twitter.com/RepRickAllen,,Republican Party,TRUE,0.584
310,Liz Johnson,https://ballotpedia.org/Liz_Johnson_(Georgia),Georgia,12,https://www.twitter.com/LizforGA12th,,,Democratic Party,FALSE,0.41600000000000000
311,David Scott,https://ballotpedia.org/David_Scott_(Georgia),Georgia,13,https://www.twitter.com/Electdavidscott,https://www.twitter.com/repdavidscott,,Democratic Party,TRUE,0.774
312,Becky E. Hites,https://ballotpedia.org/Becky_E._Hites,Georgia,13,https://www.twitter.com/Hites4G,,https://www.twitter.com/SteelInsights,Republican Party,FALSE,0.226
313,Martin Cowen,https://ballotpedia.org/Martin_Cowen,Georgia,13,https://www.twitter.com/mlcowen,,,Libertarian Party,FALSE,0.0
314,Kevin Van Ausdal,https://ballotpedia.org/Kevin_Van_Ausdal,Georgia,14,https://www.twitter.com/KevinVanAusdal,,,Democratic Party,FALSE,0.253
315,Marjorie Taylor Greene,https://ballotpedia.org/Marjorie_Taylor_Greene,Georgia,14,https://www.twitter.com/mtgreenee,https://www.twitter.com/RepMTG,https://www.twitter.com/mtgreenee,Republican Party,FALSE,0.747
316,Ed Case,https://ballotpedia.org/Ed_Case,Hawaii,1,https://www.twitter.com/EdCaseHawaii,https://www.twitter.com/repedcase,,Democratic Party,TRUE,0.72
317,Ron Curtis,https://ballotpedia.org/Ron_Curtis,Hawaii,1,https://www.twitter.com/rcurtis808,,,Republican Party,FALSE,0.28
318,Kaiali'i Kahele,https://ballotpedia.org/Kaiali'i_Kahele,Hawaii,2,https://www.twitter.com/kaikahele,https://www.twitter.com/KaheleRep,,Democratic Party,FALSE,0.63
319,Joseph Akana,https://ballotpedia.org/Joseph_Akana,Hawaii,2,https://www.twitter.com/Joe_Akana,,,Republican Party,FALSE,0.309
320,Jonathan Hoomanawanui,https://ballotpedia.org/Jonathan_K._Hoomanawanui,Hawaii,2,https://www.twitter.com/JHoomanawanui,,https://www.twitter.com/JonathanHooman1,Aloha Aina Party,FALSE,0.024
321,John Giuffre,https://ballotpedia.org/John_Giuffre,Hawaii,2,,,,American Shopping Party,FALSE,0.002
322,Michelle Rose Tippens,https://ballotpedia.org/Michelle_Rose_Tippens,Hawaii,2,,,,Libertarian Party,FALSE,0.025
323,Ron Burrus,https://ballotpedia.org/Ron_Burrus,Hawaii,2,,,,Nonpartisan,FALSE,0.01
324,Russ Fulcher,https://ballotpedia.org/Russ_Fulcher,Idaho,1,https://www.twitter.com/RussFulcher,https://www.twitter.com/RepRussFulcher,,Republican Party,TRUE,0.6780000000000000
325,Rudy Soto,https://ballotpedia.org/Rudy_Soto,Idaho,1,https://www.twitter.com/Rudy4Congress,,,Democratic Party,FALSE,0.28600000000000000
326,Joe Evans,https://ballotpedia.org/Joe_Evans_(Idaho_congressional_candidate),Idaho,1,https://www.twitter.com/IDJoe4Congress,,,Libertarian Party,FALSE,0.036000000000000000
327,Pro-Life,https://ballotpedia.org/Pro-Life_(Marvin_Thomas_Richardson),Idaho,1,,,,Independent,FALSE,0.022000000000000000
328,Michael K. Simpson,https://ballotpedia.org/Michael_Simpson_(Idaho),Idaho,2,https://www.twitter.com/mikesimpson4id,https://www.twitter.com/CongMikeSimpson,,Republican Party,TRUE,0.6410000000000000
329,Aaron Swisher,https://ballotpedia.org/Aaron_Swisher,Idaho,2,https://www.twitter.com/SwisherforIdaho,,,Democratic Party,FALSE,0.317
330,Pro-Life,https://ballotpedia.org/Pro-Life_(Marvin_Thomas_Richardson),Idaho,2,,,,Independent,FALSE,0.022000000000000000
331,Idaho Law,https://ballotpedia.org/Idaho_Law,Idaho,2,https://www.twitter.com/Congress4_IDLaw,,,Libertarian Party,FALSE,0.02
332,Bobby Rush,https://ballotpedia.org/Bobby_Rush,Illinois,1,https://www.twitter.com/bobbyrushfor1st,https://www.twitter.com/repbobbyrush,,Democratic Party,TRUE,0.738
333,Philanise White,https://ballotpedia.org/Philanise_White,Illinois,1,https://www.twitter.com/Philaniseforco1,,,Republican Party,FALSE,0.262
334,Ruth Pellegrini,https://ballotpedia.org/Ruth_Pellegrini,Illinois,1,https://www.twitter.com/congressruth,,https://www.twitter.com/ruthieartisan,Independent,FALSE,0.0
335,Robin Kelly,https://ballotpedia.org/Robin_Kelly,Illinois,2,https://www.twitter.com/RobinLynneKelly,https://www.twitter.com/RepRobinKelly,,Democratic Party,TRUE,0.7880000000000000
336,Theresa Raborn,https://ballotpedia.org/Theresa_Raborn,Illinois,2,https://www.twitter.com/Raborn4Congress,,,Republican Party,FALSE,0.212
337,Marie Newman,https://ballotpedia.org/Marie_Newman,Illinois,3,https://www.twitter.com/Marie4Congress,https://www.twitter.com/RepMarieNewman,,Democratic Party,FALSE,0.564
338,Mike Fricilone,https://ballotpedia.org/Mike_Fricilone,Illinois,3,https://www.twitter.com/FriciloneMike,,,Republican Party,FALSE,0.436
339,Jesus Garcia,https://ballotpedia.org/Jesus_Garcia,Illinois,4,https://www.twitter.com/ChuyForCongress,https://www.twitter.com/RepChuyGarcia,,Democratic Party,TRUE,0.841
340,Jesus Solorio,https://ballotpedia.org/Jesus_Solorio,Illinois,4,https://www.twitter.com/jesussoloriojr,,,Republican Party,FALSE,0.159
341,Mike Quigley,https://ballotpedia.org/Mike_Quigley,Illinois,5,https://www.twitter.com/QuigleyCampaign,https://www.twitter.com/RepMikeQuigley,,Democratic Party,TRUE,0.708
342,Tom Hanson,https://ballotpedia.org/Tom_Hanson,Illinois,5,,,,Republican Party,FALSE,0.266
343,Thomas Wilda,https://ballotpedia.org/Thomas_Wilda,Illinois,5,https://www.twitter.com/TomWilda2020,,,Green Party,FALSE,0.026000000000000000
344,Frank Rowder,https://ballotpedia.org/Frank_Rowder,Illinois,5,,,,Independent,FALSE,0.0
345,Sean Casten,https://ballotpedia.org/Sean_Casten,Illinois,6,https://www.twitter.com/VoteCasten,https://www.twitter.com/RepCasten,https://www.twitter.com/SeanCasten,Democratic Party,TRUE,0.528
346,Jeanne M. Ives,https://ballotpedia.org/Jeanne_M._Ives,Illinois,6,https://www.twitter.com/jeanneives,,,Republican Party,FALSE,0.45400000000000000
347,Bill Redpath,https://ballotpedia.org/Bill_Redpath,Illinois,6,https://www.twitter.com/BillRedpath2020,,,Libertarian Party,FALSE,0.017
